[['Term'], ['Beginning Balance', 'Rental', 'Interest', 'Pricipal', 'Ending Balance']]
[[255], [75467.89, 1737.45, 186.15, 1551.3, 73916.59]]
[[256], [73916.59, 1737.45, 182.33, 1555.12, 72361.47]]
[[257], [72361.47, 1737.45, 178.49, 1558.96, 70802.51]]
[[258], [70802.51, 1737.45, 174.65, 1562.8, 69239.71]]
[[259], [69239.71, 1737.45, 170.79, 1566.66, 67673.05]]
[[260], [67673.05, 1737.45, 166.93, 1570.52, 66102.53]]
[[261], [66102.53, 1737.45, 163.05, 1574.4, 64528.13]]
[[262], [64528.13, 1737.45, 159.17, 1578.28, 62949.85]]
[[263], [62949.85, 1737.45, 155.28, 1582.17, 61367.68]]
[[264], [61367.68, 1737.45, 151.37, 1586.08, 59781.6]]
[[265], [59781.6, 1737.45, 147.46, 1589.99, 58191.61]]
[[266], [58191.61, 1737.45, 143.54, 1593.91, 56597.7]]
[[267], [56597.7, 1737.45, 139.61, 1597.84, 54999.86]]
[[268], [54999.86, 1737.45, 135.67, 1601.78, 53398.08]]
[[269], [53398.08, 1737.45, 131.72, 1605.73, 51792.35]]
[[270], [51792.35, 1737.45, 127.75, 1609.7, 50182.65]]
[[271], [50182.65, 1737.45, 123.78, 1613.67, 48568.98]]
[[272], [48568.98, 1737.45, 119.8, 1617.65, 46951.33]]
[[273], [46951.33, 1737.45, 115.81, 1621.64, 45329.69]]
[[274], [45329.69, 1737.45, 111.81, 1625.64, 43704.05]]
[[275], [43704.05, 1737.45, 107.8, 1629.65, 42074.4]]
[[276], [42074.4, 1737.45, 103.78, 1633.67, 40440.73]]
[[277], [40440.73, 1737.45, 99.75, 1637.7, 38803.03]]
[[278], [38803.03, 1737.45, 95.71, 1641.74, 37161.29]]
[[279], [37161.29, 1737.45, 91.66, 1645.79, 35515.5]]
[[280], [35515.5, 1737.45, 87.6, 1649.85, 33865.65]]
[[281], [33865.65, 1737.45, 83.54, 1653.91, 32211.74]]
[[282], [32211.74, 1737.45, 79.46, 1657.99, 30553.75]]
[[283], [30553.75, 1737.45, 75.37, 1662.08, 28891.67]]
[[284], [28891.67, 1737.45, 71.27, 1666.18, 27225.49]]
[[285], [27225.49, 1737.45, 67.16, 1670.29, 25555.2]]
[[286], [25555.2, 1737.45, 63.04, 1674.41, 23880.79]]
[[287], [23880.79, 1737.45, 58.91, 1678.54, 22202.25]]
[[288], [22202.25, 1737.45, 54.77, 1682.68, 20519.57]]
[[289], [20519.57, 1737.45, 50.61, 1686.84, 18832.73]]
[[290], [18832.73, 1737.45, 46.45, 1691.0, 17141.73]]
[[291], [17141.73, 1737.45, 42.28, 1695.17, 15446.56]]
[[292], [15446.56, 1737.45, 38.1, 1699.35, 13747.21]]
[[293], [13747.21, 1737.45, 33.91, 1703.54, 12043.67]]
[[294], [12043.67, 1737.45, 29.71, 1707.74, 10335.93]]
[[295], [10335.93, 1737.45, 25.5, 1711.95, 8623.98]]
[[296], [8623.98, 1737.45, 21.27, 1716.18, 6907.8]]
[[297], [6907.8, 1737.45, 17.04, 1720.41, 5187.39]]
[[298], [5187.39, 1737.45, 12.8, 1724.65, 3462.74]]
[[299], [3462.74, 1737.45, 8.54, 1728.91, 1733.83]]
[[300], [1733.83, 1737.45, 4.28, 1733.17, 0.66]]
